id,wm,iq,comp
1,43,72,16
2,51,109,18
3,55,107,18
4,38,102,20
5,52,121,17
6,52,92,16
7,47,68,21
8,47,97,23
9,47,93,22
10,45,101,17
11,47,86,17
12,45,113,21
13,46,114,19
14,50,99,20
15,54,93,20
16,49,86,22
17,47,116,19
18,45,104,24
19,45,111,18
20,62,109,22
21,50,92,21
22,47,114,19
23,47,116,18
24,52,106,19
25,46,116,20
26,42,87,18
27,52,108,18
28,44,88,17
29,49,92,18
30,45,99,23
31,55,136,20
32,47,85,24
33,46,101,18
34,47,114,22
35,41,78,22
36,44,71,22
37,39,111,15
38,43,78,19
39,48,130,17
40,47,104,19
41,57,75,16
42,44,108,17
43,45,68,20
44,48,85,18
45,45,67,20
46,45,95,20
47,44,108,18
48,43,65,17
49,47,110,20
50,47,119,19
51,40,104,22
52,47,133,17
53,44,87,22
54,44,84,18
55,49,108,23
56,52,98,19
57,58,120,20
58,46,98,18
59,58,109,22
60,44,112,20
61,53,99,17
62,62,100,19
63,49,93,20
64,46,80,18
65,49,87,21
66,58,101,21
67,44,96,23
68,56,91,22
69,56,109,19
70,51,80,19
71,50,101,18
72,47,98,20
73,48,108,24
74,53,86,21
75,60,99,19
76,49,106,17
77,43,85,20
78,46,66,18
79,51,82,20
80,48,99,22
81,49,118,18
82,49,121,20
83,43,113,22
84,49,86,18
85,54,75,17
86,53,85,18
87,52,119,17
88,47,78,17
89,49,91,22
90,44,84,18
91,49,97,19
92,51,96,21
93,58,107,20
94,55,76,19
95,47,94,19
96,51,112,20
97,44,65,23
98,54,136,19
99,54,91,19
100,60,94,18
101,52,123,21
102,47,79,21
103,50,107,19
104,47,112,21
105,45,106,19
106,50,105,19
107,45,109,19
108,50,106,20
109,51,115,18
110,49,88,19
111,49,102,21
112,46,92,16
113,44,98,20
114,54,73,21
115,50,75,20
116,54,95,22
117,43,111,19
118,50,76,20
119,53,114,18
120,49,113,18
121,49,89,20
122,46,109,18
123,60,76,20
124,53,80,17
125,59,100,19
126,50,102,20
127,46,116,21
128,42,89,21
129,46,92,13
130,51,102,17
131,55,120,20
132,51,91,22
133,44,90,18
134,53,130,19
135,41,79,17
136,48,99,20
137,48,90,17
138,40,92,19
139,54,92,15
140,46,93,20
141,48,106,19
142,56,109,21
143,53,107,19
144,49,110,21
145,52,101,18
146,51,99,21
147,58,99,21
148,51,93,19
149,52,88,17
150,51,74,20
151,48,121,19
152,50,102,20
153,58,108,19
154,45,96,20
155,50,118,16
156,56,93,20
157,48,113,20
158,44,89,21
159,45,104,19
160,48,90,18
161,45,121,18
162,48,114,19
163,47,76,22
164,49,105,20
165,52,104,17
166,53,73,18
167,58,110,19
168,49,123,20
169,48,128,20
170,57,116,21
171,58,86,17
172,50,108,23
173,48,108,19
174,40,95,17
175,57,83,20
176,45,113,17
177,44,107,19
178,65,87,22
179,51,83,18
180,49,87,19
181,36,99,20
182,49,89,21
183,54,105,21
184,52,111,22
185,54,92,18
186,59,89,19
187,55,122,18
188,47,115,20
189,53,97,17
190,49,131,19
191,47,78,20
192,35,112,20
193,46,122,21
194,52,103,19
195,60,91,20
196,52,94,21
197,53,103,19
198,45,104,22
199,50,105,17
200,39,139,19
201,52,94,20
202,53,89,19
203,50,129,22
204,53,99,21
205,51,78,19
206,53,96,18
207,59,104,24
208,55,100,18
209,50,54,20
210,44,66,20
211,52,125,21
212,47,106,24
213,57,103,19
214,41,111,18
215,47,128,18
216,52,104,19
217,49,104,17
218,46,122,23
219,48,101,21
220,53,104,22
221,54,104,21
222,53,110,24
223,61,96,15
224,55,76,18
225,51,105,20
226,46,93,19
227,64,81,20
228,53,80,19
229,46,98,19
230,50,106,19
231,48,89,21
232,48,85,23
233,45,99,18
234,50,102,21
235,51,124,22
236,44,95,18
237,33,84,20
238,48,109,20
239,50,93,21
240,52,86,16
241,50,97,19
242,52,108,23
243,44,105,21
244,53,82,17
245,53,105,18
246,51,84,19
247,56,113,20
248,52,105,21
249,51,122,21
250,51,101,20
251,52,106,19
252,55,114,20
253,52,99,16
254,53,123,21
255,44,105,21
256,48,85,23
257,57,84,18
258,43,122,20
259,51,123,19
260,52,123,16
261,54,101,18
262,48,90,21
263,50,86,21
264,41,110,18
265,51,86,18
266,46,101,18
267,48,116,19
268,44,90,19
269,51,113,18
270,53,118,18
271,48,134,20
272,59,91,20
273,53,81,17
274,54,73,20
275,60,95,20
276,46,86,19
277,54,101,20
278,54,93,21
279,49,106,24
280,51,116,18
281,44,110,18
282,52,96,18
283,46,124,17
284,54,71,19
285,45,122,21
286,51,93,20
287,45,116,21
288,48,90,16
289,42,112,19
290,50,98,22
291,54,88,20
292,50,112,21
293,41,113,16
294,46,101,18
295,58,74,21
296,59,116,20
297,44,89,19
298,48,107,21
299,51,104,23
300,51,111,18
301,47,96,21
302,45,116,23
303,49,116,18
304,55,88,19
305,50,62,15
306,46,109,17
307,47,80,19
308,58,104,22
309,47,120,18
310,53,100,17
311,57,92,16
312,52,99,20
313,47,73,20
314,49,114,19
315,47,89,20
316,56,97,20
317,49,105,21
318,57,85,21
319,47,76,22
320,46,111,19
321,50,88,18
322,50,106,17
323,47,81,18
324,42,121,16
325,50,85,21
326,46,96,23
327,55,88,17
328,45,78,18
329,55,110,19
330,46,86,14
331,51,120,16
332,54,104,17
333,47,107,17
334,52,75,19
335,49,107,20
336,44,100,19
337,48,108,22
338,58,94,17
339,48,83,17
340,45,88,16
341,49,96,21
342,51,138,19
343,54,107,20
344,55,124,18
345,50,89,22
346,55,96,17
347,46,113,19
348,38,118,20
349,47,93,23
350,47,98,19
351,38,129,22
352,52,87,17
353,46,109,17
354,48,105,23
355,42,86,18
356,52,112,22
357,59,75,17
358,45,101,21
359,49,106,19
360,59,118,21
361,54,99,21
362,59,113,21
363,49,73,17
364,49,79,19
365,47,106,22
366,57,97,17
367,43,111,20
368,51,85,16
369,49,84,23
370,61,105,21
371,46,117,21
372,42,109,20
373,51,90,21
374,49,80,19
375,45,108,20
376,50,84,19
377,48,109,17
378,46,110,20
379,52,104,18
380,48,101,21
381,40,71,23
382,36,77,19
383,47,90,17
384,57,81,20
385,54,111,21
386,56,100,19
387,54,106,20
388,51,89,20
389,42,123,19
390,51,94,17
391,57,83,18
392,33,98,19
393,46,77,16
394,55,114,17
395,52,111,21
396,53,86,19
397,52,117,20
398,52,102,21
399,50,126,23
400,45,118,18
401,43,90,18
402,50,97,18
403,47,134,23
404,45,94,20
405,52,138,21
406,50,121,21
407,57,103,17
408,44,76,18
409,47,96,18
410,49,110,19
411,42,99,16
412,48,85,14
413,46,80,20
414,39,89,20
415,48,72,19
416,47,107,23
417,55,75,20
418,46,95,19
419,52,101,21
420,50,101,17
421,43,110,20
422,51,94,19
423,49,82,16
424,50,123,22
425,53,96,14
426,50,89,20
427,57,72,20
428,50,90,20
429,43,113,21
430,53,105,20
431,43,102,18
432,40,100,20
433,45,97,21
434,46,91,19
435,46,74,22
436,58,104,19
437,58,92,20
438,53,107,24
439,43,104,18
440,50,107,17
441,52,106,18
442,49,85,21
443,50,94,19
444,45,108,22
445,43,104,20
446,57,70,21
447,51,89,17
448,47,82,20
449,51,83,19
450,60,96,17
451,51,90,17
452,57,133,16
453,56,84,20
454,47,82,19
455,53,93,22
456,46,109,16
457,42,100,22
458,43,126,19
459,49,91,17
460,58,120,23
461,50,94,19
