case,corr_spell,age,RA,std_RA,std_SPELL
1,67,93,71,80,104
2,40,84,88,104,107
3,50,93,71,71,105
4,63,87,72,86,112
5,33,92,71,81,100
6,48,88,83,96,106
7,33,87,71,75,106
8,31,86,72,86,103
9,58,92,97,105,101
10,94,86,38,131,125
11,23,83,71,79,104
12,31,83,71,86,95
13,92,82,108,125,127
14,81,86,113,121,122
15,83,92,108,114,114
16,75,83,90,106,126
17,85,92,97,105,106
18,46,82,90,109,110
19,71,88,96,110,118
20,79,92,95,102,119
21,75,85,114,125,120
22,44,92,72,82,96
23,67,81,84,103,120
24,90,97,127,119,118
25,77,100,95,95,107
26,29,96,71,79,101
27,96,95,147,127,141
28,92,94,114,117,126
29,23,95,71,71,85
30,77,96,76,83,109
31,83,100,87,88,118
32,38,102,71,69,81
33,63,93,98,105,104
34,94,95,114,114,127
35,52,99,83,84,94
36,44,97,71,79,100
37,25,100,71,74,75
38,42,93,77,85,92
39,83,95,95,99,123
40,98,101,147,121,128
41,23,105,88,84,76
42,67,107,120,105,106
43,81,106,92,87,114
44,23,112,71,69,76
45,46,97,71,76,92
46,44,104,82,80,94
47,50,102,102,100,100
