Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
1975,41.08,"Atlanta, GA",490584,8033,185,443,3518,3887
1975,30.75,"Chicago, IL",3150000,37160,818,1657,12514,22171
1975,36.35,"Cleveland, OH",659931,10403,288,491,2524,7100
1975,20.91,"Oakland, CA",337748,5900,111,316,2288,3185
1975,20.385,"Seattle, WA",503500,3971,52,324,1492,2103
,,,,,,,,
1975,31.215,"Washington, DC",716000,12704,235,520,2812,9137
,,,,,,,,
1976,40.7425,"Atlanta, GA",457300,7529,154,477,3518,3380
,,,,,,,,
1976,34.93,"Baltimore, MD",860974,14191,200,460,5776,7755
,,,,,,,,
1976,32.9175,"Chicago, IL",3134499,30640,814,1179,11070,17577
,,,,,,,,
1976,41.01333333,"Cincinnati, OH",427045,3461,56,263,1617,1525
,,,,,,,,
1976,39.99,"Cleveland, OH",642298,8496,236,498,2309,5453
,,,,,,,,
1976,39.21333333,"Columbus, OH",595500,3287,53,328,985,1921
,,,,,,,,
1976,42.6125,"Dallas, TX",888450,7244,230,591,3310,3113
,,,,,,,,
1976,32.08,"Aurora, CO",132000,546,2,40,338,166
,,,,,,,,
1976,32.08,"Denver, CO",523676,4107,86,383,1596,2042
,,,,,,,,
1976,36.38,"Detroit, MI",1334100,29699,663,1230,6593,21213
,,,,,,,,
1976,56.38,"Houston, TX",1477000,8045,321,690,1503,5531
,,,,,,,,
1976,37.36,"Louisville, KY",,,,,,
,,,,,,,,
1976,36.345,"Miami, FL",338721,5172,84,145,2630,2313
,,,,,,,,
1976,37.84333333,"Minneapolis, MN",397421,2954,27,300,1220,1407
,,,,,,,,
1976,25.45333333,"Newark, NJ",367886,6565,99,323,2309,3834
,,,,,,,,
1976,24.385,"Oakland, CA",333100,5514,98,309,2213,2894
,,,,,,,,
1976,36.16,"Philadelphia, PA",1916665,13113,338,764,4225,7786
,,,,,,,,
1976,42.84,"Pittsburgh, PA",487106,4621,62,287,1853,2419
,,,,,,,,
1976,30.19333333,"Portland, OR",379818,4304,39,322,2030,1913
,,,,,,,,
1976,29.89,"Sacramento, CA",260700,2799,52,192,1368,1187
,,,,,,,,
1976,23.1275,"Seattle, WA",503500,4128,42,322,1601,2163
,,,,,,,,
1976,42.62,"Tampa, FL",274568,2935,42,162,1706,1025
,,,,,,,,
1976,32.4375,"Washington, DC",702000,10399,188,508,2659,7044
,,,,,,,,
1976,54.29,"Wichita, KS",256455,1114,19,111,470,514
,,,,,,,,
1977,37.915,"Albuquerque, NM",292341,2390,31,207,1398,754
,,,,,,,,
1977,42.4825,"Atlanta, GA",440300,7595,138,510,3593,3354
,,,,,,,,
1977,41.04333333,"Austin, TX",321900,1260,33,187,528,512
,,,,,,,,
1977,37.245,"Baltimore, MD",827494,14283,171,499,6050,7563
,,,,,,,,
1977,25.05,"Boston, MA",619321,9422,75,408,3284,5655
,,,,,,,,
1977,38.695,"Buffalo, NY",415352,3945,45,236,1842,1822
,,,,,,,,
1977,39.925,"Charlotte, NC",262314,2245,47,119,1465,614
,,,,,,,,
1977,38.8925,"Chicago, IL",3086806,28873,823,1227,10311,16512
