Subject,Size,Colour,RT
1,Small,Colour,855
2,Small,Colour,956
3,Small,Colour,1038
4,Small,Colour,827
5,Small,Colour,1029
6,Small,Colour,1004
7,Small,Colour,1012
8,Small,Colour,1167
9,Small,Colour,817
10,Small,Colour,1190
11,Small,Colour,888
12,Small,Colour,830
13,Small,Colour,892
14,Small,Colour,1037
15,Small,Colour,1022
16,Small,Colour,953
17,Small,Colour,857
18,Small,Colour,902
19,Small,Colour,1183
20,Small,Colour,1029
21,Small,Colour,913
22,Small,Colour,858
23,Small,Colour,969
24,Small,Colour,750
1,Large,B&W,1132
2,Large,B&W,1096
3,Large,B&W,1362
4,Large,B&W,1341
5,Large,B&W,1189
6,Large,B&W,1040
7,Large,B&W,1326
8,Large,B&W,1319
9,Large,B&W,1301
10,Large,B&W,1303
11,Large,B&W,1150
12,Large,B&W,1298
13,Large,B&W,1382
14,Large,B&W,1205
15,Large,B&W,1062
16,Large,B&W,1311
17,Large,B&W,1310
18,Large,B&W,1156
19,Large,B&W,1437
20,Large,B&W,1088
21,Large,B&W,1248
22,Large,B&W,882
23,Large,B&W,1177
24,Large,B&W,1358
1,Large,Colour,559
2,Large,Colour,519
3,Large,Colour,665
4,Large,Colour,527
5,Large,Colour,624
6,Large,Colour,443
7,Large,Colour,472
8,Large,Colour,559
9,Large,Colour,506
10,Large,Colour,722
11,Large,Colour,682
12,Large,Colour,529
13,Large,Colour,651
14,Large,Colour,682
15,Large,Colour,623
16,Large,Colour,631
17,Large,Colour,705
18,Large,Colour,556
19,Large,Colour,562
20,Large,Colour,685
21,Large,Colour,483
22,Large,Colour,616
23,Large,Colour,597
24,Large,Colour,642
1,Small,B&W,1533
2,Small,B&W,1434
3,Small,B&W,1430
4,Small,B&W,1497
5,Small,B&W,1558
6,Small,B&W,1449
7,Small,B&W,1271
8,Small,B&W,1379
9,Small,B&W,1625
10,Small,B&W,1354
11,Small,B&W,1489
12,Small,B&W,1559
13,Small,B&W,1503
14,Small,B&W,1399
15,Small,B&W,1428
16,Small,B&W,1284
17,Small,B&W,1457
18,Small,B&W,1284
19,Small,B&W,1289
20,Small,B&W,1271
21,Small,B&W,1315
22,Small,B&W,1537
23,Small,B&W,1349
24,Small,B&W,1390
