Subject,Vignette,Face,Arousal,StoryEmotion,FaceExpression,RT
38,10,Anger 1 Female.JPG,3.19,Anger,Anger,2896
39,10,Anger 1 Female.JPG,3.19,Anger,Anger,2676
40,9,Anger 1 Female.JPG,3.19,Anger,Anger,1199
42,10,Anger 1 Female.JPG,3.19,Anger,Anger,2464
44,9,Anger 1 Female.JPG,3.19,Anger,Anger,2010
45,10,Anger 1 Female.JPG,3.19,Anger,Anger,2343
46,10,Anger 1 Female.JPG,3.19,Anger,Anger,1386
47,9,Anger 1 Female.JPG,3.19,Anger,Anger,2107
48,10,Anger 1 Female.JPG,3.19,Anger,Anger,1103
50,10,Anger 1 Female.JPG,3.19,Anger,Anger,3923
51,9,Anger 1 Female.JPG,3.19,Anger,Anger,1161
52,10,Anger 1 Female.JPG,3.19,Anger,Anger,1167
53,9,Anger 1 Female.JPG,3.19,Anger,Anger,3291
54,10,Anger 1 Female.JPG,3.19,Anger,Anger,1248
55,10,Anger 1 Female.JPG,3.19,Anger,Anger,2318
56,9,Anger 1 Female.JPG,3.19,Anger,Anger,1220
57,10,Anger 1 Female.JPG,3.19,Anger,Anger,1760
58,10,Anger 1 Female.JPG,3.19,Anger,Anger,1400
59,9,Anger 1 Female.JPG,3.19,Anger,Anger,941
61,10,Anger 1 Female.JPG,3.19,Anger,Anger,1200
62,10,Anger 1 Female.JPG,3.19,Anger,Anger,2325
63,9,Anger 1 Female.JPG,3.19,Anger,Anger,892
64,9,Anger 1 Female.JPG,3.19,Anger,Anger,1402
65,9,Anger 1 Female.JPG,3.19,Anger,Anger,1175
66,9,Anger 1 Female.JPG,3.19,Anger,Anger,755
67,9,Anger 1 Female.JPG,3.19,Anger,Anger,1300
69,9,Anger 1 Female.JPG,3.19,Anger,Anger,1001
70,10,Anger 1 Female.JPG,3.19,Anger,Anger,951
71,9,Anger 1 Female.JPG,3.19,Anger,Anger,1758
72,9,Anger 1 Female.JPG,3.19,Anger,Anger,2154
38,2,Anger 1 Male.JPG,3.56,Anger,Anger,2651
39,2,Anger 1 Male.JPG,3.56,Anger,Anger,2956
40,1,Anger 1 Male.JPG,3.56,Anger,Anger,1045
42,2,Anger 1 Male.JPG,3.56,Anger,Anger,2294
44,1,Anger 1 Male.JPG,3.56,Anger,Anger,1402
45,2,Anger 1 Male.JPG,3.56,Anger,Anger,2106
46,2,Anger 1 Male.JPG,3.56,Anger,Anger,1556
48,2,Anger 1 Male.JPG,3.56,Anger,Anger,1174
50,2,Anger 1 Male.JPG,3.56,Anger,Anger,5277
51,1,Anger 1 Male.JPG,3.56,Anger,Anger,1740
52,2,Anger 1 Male.JPG,3.56,Anger,Anger,1125
54,2,Anger 1 Male.JPG,3.56,Anger,Anger,1625
55,2,Anger 1 Male.JPG,3.56,Anger,Anger,1466
56,1,Anger 1 Male.JPG,3.56,Anger,Anger,1615
57,2,Anger 1 Male.JPG,3.56,Anger,Anger,5565
58,2,Anger 1 Male.JPG,3.56,Anger,Anger,1236
59,1,Anger 1 Male.JPG,3.56,Anger,Anger,810
60,2,Anger 1 Male.JPG,3.56,Anger,Anger,476
61,2,Anger 1 Male.JPG,3.56,Anger,Anger,1045
62,2,Anger 1 Male.JPG,3.56,Anger,Anger,1640
63,1,Anger 1 Male.JPG,3.56,Anger,Anger,1130
64,1,Anger 1 Male.JPG,3.56,Anger,Anger,1017
65,1,Anger 1 Male.JPG,3.56,Anger,Anger,725
66,1,Anger 1 Male.JPG,3.56,Anger,Anger,1196
67,1,Anger 1 Male.JPG,3.56,Anger,Anger,1041
69,1,Anger 1 Male.JPG,3.56,Anger,Anger,995
70,2,Anger 1 Male.JPG,3.56,Anger,Anger,1346
72,1,Anger 1 Male.JPG,3.56,Anger,Anger,2878
38,12,Anger 2 Female.JPG,3.16,Anger,Anger,2333
39,12,Anger 2 Female.JPG,3.16,Anger,Anger,2152
40,11,Anger 2 Female.JPG,3.16,Anger,Anger,1638
42,12,Anger 2 Female.JPG,3.16,Anger,Anger,1915
44,11,Anger 2 Female.JPG,3.16,Anger,Anger,1700
45,12,Anger 2 Female.JPG,3.16,Anger,Anger,1363
