Subject,Item,Condition,Region,DV
S1,I2,Positive,R3,0
S1,I3,Negative,R3,0
S1,I4,Neutral,R3,0
S1,I5,Positive,R3,0
S1,I6,Negative,R3,0
S1,I7,Neutral,R3,1
S1,I8,Positive,R3,0
S1,I9,Negative,R3,0
S1,I10,Neutral,R3,0
S1,I11,Positive,R3,0
S1,I12,Negative,R3,0
S1,I13,Neutral,R3,0
S1,I14,Positive,R3,0
S1,I15,Negative,R3,0
S1,I16,Neutral,R3,0
S1,I17,Positive,R3,0
S1,I18,Negative,R3,0
S1,I19,Neutral,R3,0
S1,I20,Positive,R3,0
S1,I21,Negative,R3,1
S1,I22,Neutral,R3,0
S1,I23,Positive,R3,1
S1,I24,Negative,R3,0
S2,I1,Negative,R3,0
S2,I2,Neutral,R3,0
S2,I3,Positive,R3,0
S2,I4,Negative,R3,0
S2,I5,Neutral,R3,0
S2,I6,Positive,R3,0
S2,I7,Negative,R3,0
S2,I8,Neutral,R3,0
S2,I9,Positive,R3,0
S2,I10,Negative,R3,0
S2,I11,Neutral,R3,0
S2,I12,Positive,R3,0
S2,I13,Negative,R3,0
S2,I14,Neutral,R3,0
S2,I15,Positive,R3,0
S2,I16,Negative,R3,0
S2,I17,Neutral,R3,0
S2,I18,Positive,R3,0
S2,I19,Negative,R3,0
S2,I20,Neutral,R3,0
S2,I21,Positive,R3,0
S2,I22,Negative,R3,0
S2,I23,Neutral,R3,0
S2,I24,Positive,R3,0
S3,I1,Positive,R3,0
S3,I2,Negative,R3,0
S3,I3,Neutral,R3,0
S3,I4,Positive,R3,1
S3,I5,Negative,R3,0
S3,I6,Neutral,R3,0
S3,I7,Positive,R3,0
S3,I8,Negative,R3,0
S3,I9,Neutral,R3,0
S3,I10,Positive,R3,0
S3,I11,Negative,R3,0
S3,I12,Neutral,R3,0
S3,I13,Positive,R3,1
S3,I14,Negative,R3,0
S3,I15,Neutral,R3,0
S3,I16,Positive,R3,0
S3,I17,Negative,R3,1
S3,I18,Neutral,R3,0
S3,I19,Positive,R3,0
S3,I20,Negative,R3,0
S3,I21,Neutral,R3,0
S3,I22,Positive,R3,0
S3,I23,Negative,R3,1
S3,I24,Neutral,R3,0
S4,I1,Neutral,R3,0
S4,I2,Positive,R3,0
S4,I3,Negative,R3,0
S4,I4,Neutral,R3,0
S4,I6,Negative,R3,1
S4,I7,Neutral,R3,1
S4,I8,Positive,R3,0
S4,I9,Negative,R3,0
S4,I10,Neutral,R3,1
S4,I11,Positive,R3,0
S4,I12,Negative,R3,0
S4,I13,Neutral,R3,0
S4,I14,Positive,R3,0
S4,I15,Negative,R3,0
S4,I16,Neutral,R3,0
S4,I17,Positive,R3,0
S4,I18,Negative,R3,0
S4,I19,Neutral,R3,0
S4,I20,Positive,R3,0
S4,I21,Negative,R3,0
S4,I22,Neutral,R3,0
S4,I24,Negative,R3,1
S5,I1,Negative,R3,1
S5,I2,Neutral,R3,0
S5,I3,Positive,R3,0
S5,I4,Negative,R3,0
S5,I5,Neutral,R3,0
S5,I6,Positive,R3,0
S5,I7,Negative,R3,0
S5,I8,Neutral,R3,1
S5,I9,Positive,R3,0
S5,I10,Negative,R3,0
S5,I11,Neutral,R3,1
S5,I12,Positive,R3,0
S5,I13,Negative,R3,0
S5,I14,Neutral,R3,1
S5,I15,Positive,R3,1
S5,I16,Negative,R3,0
S5,I17,Neutral,R3,0
S5,I18,Positive,R3,1
S5,I19,Negative,R3,0
S5,I20,Neutral,R3,1
S5,I21,Positive,R3,0
S5,I22,Negative,R3,0
S5,I23,Neutral,R3,1
S5,I24,Positive,R3,0
S6,I1,Positive,R3,0
S6,I2,Negative,R3,1
S6,I3,Neutral,R3,1
S6,I4,Positive,R3,0
S6,I5,Negative,R3,1
S6,I6,Neutral,R3,0
S6,I7,Positive,R3,1
S6,I8,Negative,R3,0
S6,I9,Neutral,R3,1
S6,I10,Positive,R3,0
S6,I11,Negative,R3,0
S6,I12,Neutral,R3,0
S6,I13,Positive,R3,0
S6,I15,Neutral,R3,0
S6,I16,Positive,R3,0
S6,I17,Negative,R3,1
S6,I18,Neutral,R3,1
S6,I19,Positive,R3,1
S6,I20,Negative,R3,0
S6,I21,Neutral,R3,0
S6,I22,Positive,R3,1
