Subject,Item,RT,Condition
1,3,1370,Rare
1,7,839,Rare
1,11,1082,Rare
1,15,1391,Rare
1,19,1834,Rare
1,23,1857,Rare
1,27,1152,Rare
2,4,1806,Rare
2,8,633,Rare
2,12,1109,Rare
2,16,1039,Rare
2,20,1948,Rare
2,24,1535,Rare
2,28,1022,Rare
3,1,824,Rare
3,5,1777,Rare
3,9,946,Rare
3,13,1015,Rare
3,17,1008,Rare
3,21,775,Rare
3,25,1143,Rare
4,2,4838,Rare
4,6,2981,Rare
4,10,1630,Rare
4,14,1403,Rare
4,18,1173,Rare
4,22,997,Rare
4,26,2695,Rare
5,3,943,Rare
5,7,1013,Rare
5,11,1231,Rare
5,15,1384,Rare
5,19,1951,Rare
5,23,1613,Rare
5,27,1988,Rare
6,4,2927,Rare
6,8,1265,Rare
6,12,1850,Rare
6,16,981,Rare
6,20,2247,Rare
6,24,1583,Rare
6,28,1603,Rare
7,1,955,Rare
7,5,3713,Rare
7,9,1183,Rare
7,13,2141,Rare
7,17,1791,Rare
7,21,2110,Rare
7,25,1985,Rare
8,2,2237,Rare
8,6,1459,Rare
8,10,961,Rare
8,14,1229,Rare
8,18,835,Rare
8,22,1037,Rare
8,26,961,Rare
9,3,962,Rare
9,7,962,Rare
9,11,1127,Rare
9,15,1076,Rare
9,19,1763,Rare
9,23,1222,Rare
9,27,870,Rare
10,4,1719,Rare
10,8,1356,Rare
10,12,927,Rare
10,16,449,Rare
10,20,1834,Rare
10,24,1207,Rare
10,28,962,Rare
11,1,1341,Rare
11,5,2326,Rare
11,9,754,Rare
11,13,1059,Rare
11,17,1433,Rare
11,21,1088,Rare
11,25,1966,Rare
12,2,1555,Rare
12,6,1071,Rare
12,10,1808,Rare
12,14,1038,Rare
12,18,742,Rare
12,22,865,Rare
12,26,1642,Rare
13,3,1481,Rare
13,7,835,Rare
13,11,1754,Rare
13,15,1043,Rare
13,19,2639,Rare
13,23,2575,Rare
13,27,1898,Rare
14,4,2359,Rare
14,8,1132,Rare
14,12,1035,Rare
14,16,1402,Rare
14,20,4351,Rare
14,24,692,Rare
14,28,1444,Rare
15,1,1811,Rare
15,5,2374,Rare
15,9,1456,Rare
15,13,1434,Rare
15,17,1025,Rare
15,21,696,Rare
15,25,1374,Rare
16,2,1658,Rare
16,6,2376,Rare
16,10,1555,Rare
16,14,2351,Rare
16,18,836,Rare
16,22,1312,Rare
16,26,1527,Rare
17,3,788,Rare
17,7,2048,Rare
17,11,2524,Rare
17,15,329,Rare
17,19,4145,Rare
17,23,2296,Rare
17,27,1733,Rare
18,4,5879,Rare
18,8,474,Rare
18,12,580,Rare
18,16,723,Rare
18,20,790,Rare
18,24,844,Rare
18,28,505,Rare
19,1,2028,Rare
19,5,1723,Rare
19,9,1326,Rare
19,13,2323,Rare
19,17,2608,Rare
19,21,1331,Rare
19,25,2482,Rare
20,2,1625,Rare
20,6,1277,Rare
20,10,2516,Rare
20,14,2136,Rare
20,18,970,Rare
20,22,712,Rare
20,26,1583,Rare
21,3,1624,Rare
21,7,923,Rare
21,11,,Rare
21,15,1424,Rare
21,19,1901,Rare
21,23,2051,Rare
21,27,1037,Rare
22,4,1694,Rare
22,8,989,Rare
22,12,2013,Rare
22,16,697,Rare
22,20,1515,Rare
22,24,660,Rare
22,28,578,Rare
23,1,1665,Rare
23,5,1555,Rare
23,9,633,Rare
23,13,1731,Rare
23,17,1606,Rare
23,21,2637,Rare
23,25,1452,Rare
24,2,1909,Rare
24,6,3936,Rare
24,10,7000,Rare
24,14,1658,Rare
24,18,1826,Rare
24,22,1720,Rare
24,26,2679,Rare
25,3,3134,Rare
25,7,918,Rare
25,11,1636,Rare
25,15,2315,Rare
25,19,2816,Rare
25,23,3281,Rare
25,27,1492,Rare
26,4,2691,Rare
26,8,508,Rare
26,12,820,Rare
26,16,580,Rare
26,20,802,Rare
26,24,1130,Rare
26,28,778,Rare
27,1,2750,Rare
27,5,1688,Rare
27,9,2161,Rare
27,13,1700,Rare
27,17,2017,Rare
27,21,1611,Rare
27,25,1742,Rare
28,2,1953,Rare
28,6,1450,Rare
28,10,2530,Rare
28,14,6531,Rare
28,18,1627,Rare
28,22,949,Rare
28,26,1730,Rare
29,3,1156,Rare
29,7,702,Rare
29,11,814,Rare
29,15,876,Rare
29,19,1186,Rare
29,23,760,Rare
29,27,499,Rare
30,4,2781,Rare
30,8,1120,Rare
30,12,946,Rare
30,16,897,Rare
30,20,1165,Rare
30,24,1054,Rare
30,28,901,Rare
31,1,1287,Rare
31,5,1921,Rare
31,9,818,Rare
