Subject,Item,RT,Image
1,3,1370,Neutral
1,7,839,Neutral
1,11,1082,Neutral
1,15,1391,Neutral
1,19,1834,Neutral
1,23,1857,Neutral
1,27,1152,Neutral
2,4,1806,Neutral
2,8,633,Neutral
2,12,1109,Neutral
2,16,1039,Neutral
2,20,1948,Neutral
2,24,1535,Neutral
2,28,1022,Neutral
3,1,824,Neutral
3,5,1777,Neutral
3,9,946,Neutral
3,13,1015,Neutral
3,17,1008,Neutral
3,21,775,Neutral
3,25,1143,Neutral
4,2,4838,Neutral
4,6,2981,Neutral
4,10,1630,Neutral
4,14,1403,Neutral
4,18,1173,Neutral
4,22,997,Neutral
4,26,2695,Neutral
5,3,943,Neutral
5,7,1013,Neutral
5,11,1231,Neutral
5,15,1384,Neutral
5,19,1951,Neutral
5,23,1613,Neutral
5,27,1988,Neutral
6,4,2927,Neutral
6,8,1265,Neutral
6,12,1850,Neutral
6,16,981,Neutral
6,20,2247,Neutral
6,24,1583,Neutral
6,28,1603,Neutral
7,1,955,Neutral
7,5,3713,Neutral
7,9,1183,Neutral
7,13,2141,Neutral
7,17,1791,Neutral
7,21,2110,Neutral
7,25,1985,Neutral
8,2,2237,Neutral
8,6,1459,Neutral
8,10,961,Neutral
8,14,1229,Neutral
8,18,835,Neutral
8,22,1037,Neutral
8,26,961,Neutral
9,3,962,Neutral
9,7,962,Neutral
9,11,1127,Neutral
9,15,1076,Neutral
9,19,1763,Neutral
9,23,1222,Neutral
9,27,870,Neutral
10,4,1719,Neutral
10,8,1356,Neutral
10,12,927,Neutral
10,16,449,Neutral
10,20,1834,Neutral
10,24,1207,Neutral
10,28,962,Neutral
11,1,1341,Neutral
11,5,2326,Neutral
11,9,754,Neutral
11,13,1059,Neutral
11,17,1433,Neutral
11,21,1088,Neutral
11,25,1966,Neutral
12,2,1555,Neutral
12,6,1071,Neutral
12,10,1808,Neutral
12,14,1038,Neutral
12,18,742,Neutral
12,22,865,Neutral
12,26,1642,Neutral
13,3,1481,Neutral
13,7,835,Neutral
13,11,1754,Neutral
13,15,1043,Neutral
13,19,2639,Neutral
13,23,2575,Neutral
13,27,1898,Neutral
14,4,2359,Neutral
14,8,1132,Neutral
14,12,1035,Neutral
14,16,1402,Neutral
14,20,4351,Neutral
14,24,692,Neutral
14,28,1444,Neutral
15,1,1811,Neutral
15,5,2374,Neutral
15,9,1456,Neutral
15,13,1434,Neutral
15,17,1025,Neutral
15,21,696,Neutral
15,25,1374,Neutral
16,2,1658,Neutral
16,6,2376,Neutral
16,10,1555,Neutral
16,14,2351,Neutral
16,18,836,Neutral
16,22,1312,Neutral
16,26,1527,Neutral
17,3,788,Neutral
17,7,2048,Neutral
17,11,2524,Neutral
17,15,329,Neutral
17,19,4145,Neutral
17,23,2296,Neutral
17,27,1733,Neutral
