Subject,Item,Time,Prime,Target
1,3,407,Negative,Negative
1,7,367,Negative,Negative
1,11,352,Negative,Negative
1,15,293,Negative,Negative
1,19,227,Negative,Negative
1,23,497,Negative,Negative
1,27,410,Negative,Negative
1,31,257,Negative,Negative
1,4,203,Negative,Positive
1,8,656,Negative,Positive
1,12,563,Negative,Positive
1,16,468,Negative,Positive
1,20,577,Negative,Positive
1,24,328,Negative,Positive
1,28,540,Negative,Positive
1,32,392,Negative,Positive
1,2,343,Positive,Negative
1,6,499,Positive,Negative
1,10,400,Positive,Negative
1,14,189,Positive,Negative
1,18,439,Positive,Negative
1,22,436,Positive,Negative
1,26,458,Positive,Negative
1,30,133,Positive,Negative
1,1,612,Positive,Positive
1,5,758,Positive,Positive
1,9,406,Positive,Positive
1,13,545,Positive,Positive
1,17,371,Positive,Positive
1,21,166,Positive,Positive
1,25,433,Positive,Positive
1,29,,Positive,Positive
2,3,570,Negative,Negative
2,7,471,Negative,Negative
2,11,273,Negative,Negative
2,15,205,Negative,Negative
2,19,361,Negative,Negative
2,23,401,Negative,Negative
2,27,511,Negative,Negative
2,31,390,Negative,Negative
2,4,392,Negative,Positive
2,8,361,Negative,Positive
2,12,373,Negative,Positive
2,16,214,Negative,Positive
2,20,249,Negative,Positive
2,24,601,Negative,Positive
2,28,373,Negative,Positive
2,32,777,Negative,Positive
2,2,606,Positive,Negative
2,6,1099,Positive,Negative
2,10,534,Positive,Negative
2,14,411,Positive,Negative
2,18,1080,Positive,Negative
2,22,143,Positive,Negative
2,26,858,Positive,Negative
2,30,157,Positive,Negative
2,1,626,Positive,Positive
2,5,442,Positive,Positive
2,9,531,Positive,Positive
2,13,640,Positive,Positive
2,17,295,Positive,Positive
2,21,526,Positive,Positive
2,25,298,Positive,Positive
2,29,318,Positive,Positive
3,3,456,Negative,Negative
3,7,374,Negative,Negative
3,11,379,Negative,Negative
3,15,341,Negative,Negative
3,19,418,Negative,Negative
3,23,258,Negative,Negative
3,27,239,Negative,Negative
3,31,299,Negative,Negative
3,4,710,Negative,Positive
3,8,254,Negative,Positive
3,12,362,Negative,Positive
3,16,611,Negative,Positive
3,20,296,Negative,Positive
3,24,255,Negative,Positive
3,28,274,Negative,Positive
3,32,246,Negative,Positive
3,2,286,Positive,Negative
3,6,323,Positive,Negative
3,10,326,Positive,Negative
3,14,429,Positive,Negative
3,18,214,Positive,Negative
3,22,503,Positive,Negative
3,26,317,Positive,Negative
3,30,171,Positive,Negative
3,1,469,Positive,Positive
3,5,618,Positive,Positive
3,9,217,Positive,Positive
3,13,270,Positive,Positive
3,17,268,Positive,Positive
3,21,369,Positive,Positive
3,25,240,Positive,Positive
3,29,394,Positive,Positive
4,3,330,Negative,Negative
4,7,257,Negative,Negative
4,11,251,Negative,Negative
4,15,562,Negative,Negative
4,19,151,Negative,Negative
4,23,301,Negative,Negative
4,27,,Negative,Negative
4,31,177,Negative,Negative
4,4,242,Negative,Positive
4,8,189,Negative,Positive
4,12,109,Negative,Positive
4,16,331,Negative,Positive
4,20,563,Negative,Positive
4,24,,Negative,Positive
4,28,212,Negative,Positive
4,32,512,Negative,Positive
4,2,219,Positive,Negative
4,6,297,Positive,Negative
4,10,468,Positive,Negative
4,14,418,Positive,Negative
4,18,248,Positive,Negative
4,22,333,Positive,Negative
4,26,179,Positive,Negative
4,30,198,Positive,Negative
4,1,270,Positive,Positive
4,5,215,Positive,Positive
4,9,132,Positive,Positive
4,13,513,Positive,Positive
4,17,306,Positive,Positive
4,21,286,Positive,Positive
4,25,277,Positive,Positive
4,29,202,Positive,Positive
5,3,324,Negative,Negative
5,7,340,Negative,Negative
5,11,346,Negative,Negative
5,15,368,Negative,Negative
5,19,282,Negative,Negative
5,23,213,Negative,Negative
5,27,191,Negative,Negative
5,31,158,Negative,Negative
5,4,208,Negative,Positive
5,8,160,Negative,Positive
5,12,432,Negative,Positive
5,16,652,Negative,Positive
5,20,242,Negative,Positive
5,24,,Negative,Positive
5,28,372,Negative,Positive
5,32,198,Negative,Positive
5,2,720,Positive,Negative
5,6,93,Positive,Negative
5,10,336,Positive,Negative
5,14,140,Positive,Negative
5,18,466,Positive,Negative
5,22,154,Positive,Negative
5,26,539,Positive,Negative
5,30,,Positive,Negative
5,1,453,Positive,Positive
5,5,237,Positive,Positive
5,9,210,Positive,Positive
5,13,169,Positive,Positive
5,17,266,Positive,Positive
5,21,197,Positive,Positive
5,25,238,Positive,Positive
5,29,234,Positive,Positive
6,3,403,Negative,Negative
6,7,644,Negative,Negative
6,11,194,Negative,Negative
6,15,152,Negative,Negative
6,19,,Negative,Negative
6,23,214,Negative,Negative
6,27,218,Negative,Negative
6,31,358,Negative,Negative
6,4,499,Negative,Positive
6,8,244,Negative,Positive
6,12,,Negative,Positive
6,16,401,Negative,Positive
6,20,116,Negative,Positive
6,24,678,Negative,Positive
6,28,480,Negative,Positive
6,32,388,Negative,Positive
6,2,181,Positive,Negative
6,6,353,Positive,Negative
6,10,585,Positive,Negative
6,14,,Positive,Negative
6,18,377,Positive,Negative
6,22,134,Positive,Negative
6,26,602,Positive,Negative
6,30,227,Positive,Negative
6,1,241,Positive,Positive
6,5,241,Positive,Positive
6,9,322,Positive,Positive
6,13,157,Positive,Positive
6,17,202,Positive,Positive
6,21,219,Positive,Positive
6,25,272,Positive,Positive
6,29,170,Positive,Positive
7,3,,Negative,Negative
7,7,185,Negative,Negative
7,11,,Negative,Negative
7,15,140,Negative,Negative
7,19,322,Negative,Negative
7,23,131,Negative,Negative
7,27,,Negative,Negative
7,31,216,Negative,Negative
7,4,269,Negative,Positive
7,8,209,Negative,Positive
7,12,193,Negative,Positive
7,16,228,Negative,Positive
7,20,421,Negative,Positive
7,24,204,Negative,Positive
7,28,,Negative,Positive
7,32,159,Negative,Positive
7,2,,Positive,Negative
7,6,229,Positive,Negative
7,10,261,Positive,Negative
7,14,143,Positive,Negative
7,18,261,Positive,Negative
7,22,,Positive,Negative
7,26,,Positive,Negative
7,30,199,Positive,Negative
7,1,527,Positive,Positive
7,5,204,Positive,Positive
7,9,325,Positive,Positive
7,13,85,Positive,Positive
7,17,182,Positive,Positive
7,21,167,Positive,Positive
7,25,157,Positive,Positive
7,29,223,Positive,Positive
8,3,145,Negative,Negative
8,7,439,Negative,Negative
8,11,214,Negative,Negative
8,15,155,Negative,Negative
8,19,154,Negative,Negative
8,23,204,Negative,Negative
8,27,,Negative,Negative
8,31,166,Negative,Negative
8,4,167,Negative,Positive
8,8,611,Negative,Positive
8,12,215,Negative,Positive
8,16,150,Negative,Positive
8,20,352,Negative,Positive
8,24,182,Negative,Positive
8,28,226,Negative,Positive
8,32,144,Negative,Positive
8,2,343,Positive,Negative
8,6,515,Positive,Negative
8,10,232,Positive,Negative
8,14,239,Positive,Negative
8,18,193,Positive,Negative
8,22,,Positive,Negative
8,26,141,Positive,Negative
8,30,240,Positive,Negative
8,1,337,Positive,Positive
8,5,197,Positive,Positive
8,9,201,Positive,Positive
8,13,174,Positive,Positive
8,17,378,Positive,Positive
8,21,644,Positive,Positive
8,25,283,Positive,Positive
8,29,,Positive,Positive
9,4,,Negative,Negative
9,8,,Negative,Negative
9,12,,Negative,Negative
9,16,119,Negative,Negative
9,20,,Negative,Negative
9,24,,Negative,Negative
9,28,,Negative,Negative
9,32,,Negative,Negative
9,1,205,Negative,Positive
9,5,452,Negative,Positive
9,9,114,Negative,Positive
9,13,130,Negative,Positive
9,17,,Negative,Positive
9,21,,Negative,Positive
9,25,215,Negative,Positive
9,29,376,Negative,Positive
9,3,,Positive,Negative
9,7,127,Positive,Negative
9,11,146,Positive,Negative
9,15,,Positive,Negative
9,19,388,Positive,Negative
9,23,110,Positive,Negative
9,27,,Positive,Negative
9,31,,Positive,Negative
9,2,,Positive,Positive
9,6,958,Positive,Positive
9,10,295,Positive,Positive
9,14,181,Positive,Positive
9,18,,Positive,Positive
9,22,223,Positive,Positive
9,26,274,Positive,Positive
9,30,169,Positive,Positive
10,4,279,Negative,Negative
10,8,652,Negative,Negative
10,12,343,Negative,Negative
10,16,169,Negative,Negative
10,20,253,Negative,Negative
10,24,238,Negative,Negative
10,28,168,Negative,Negative
10,32,,Negative,Negative
10,1,947,Negative,Positive
10,5,306,Negative,Positive
10,9,250,Negative,Positive
10,13,474,Negative,Positive
10,17,515,Negative,Positive
10,21,185,Negative,Positive
10,25,236,Negative,Positive
10,29,203,Negative,Positive
10,3,286,Positive,Negative
10,7,341,Positive,Negative
10,11,278,Positive,Negative
10,15,104,Positive,Negative
10,19,313,Positive,Negative
10,23,249,Positive,Negative
10,27,333,Positive,Negative
10,31,265,Positive,Negative
10,2,402,Positive,Positive
10,6,314,Positive,Positive
10,10,311,Positive,Positive
10,14,692,Positive,Positive
10,18,280,Positive,Positive
10,22,131,Positive,Positive
10,26,269,Positive,Positive
10,30,248,Positive,Positive
11,4,329,Negative,Negative
11,8,449,Negative,Negative
11,12,478,Negative,Negative
11,16,618,Negative,Negative
11,20,536,Negative,Negative
11,24,380,Negative,Negative
11,28,242,Negative,Negative
11,32,173,Negative,Negative
11,1,,Negative,Positive
11,5,240,Negative,Positive
11,9,631,Negative,Positive
11,13,,Negative,Positive
11,17,176,Negative,Positive
11,21,487,Negative,Positive
11,25,,Negative,Positive
11,29,160,Negative,Positive
11,3,276,Positive,Negative
11,7,653,Positive,Negative
11,11,727,Positive,Negative
11,15,266,Positive,Negative
11,19,569,Positive,Negative
11,23,464,Positive,Negative
11,27,371,Positive,Negative
11,31,1083,Positive,Negative
11,2,153,Positive,Positive
11,6,257,Positive,Positive
11,10,285,Positive,Positive
11,14,508,Positive,Positive
11,18,441,Positive,Positive
11,22,318,Positive,Positive
11,26,426,Positive,Positive
11,30,123,Positive,Positive
12,4,278,Negative,Negative
12,8,252,Negative,Negative
12,12,143,Negative,Negative
12,16,264,Negative,Negative
12,20,305,Negative,Negative
12,24,384,Negative,Negative
12,28,388,Negative,Negative
12,32,333,Negative,Negative
12,1,407,Negative,Positive
12,5,,Negative,Positive
12,9,222,Negative,Positive
12,13,222,Negative,Positive
12,17,199,Negative,Positive
12,21,220,Negative,Positive
12,25,359,Negative,Positive
12,29,243,Negative,Positive
12,3,279,Positive,Negative
12,7,310,Positive,Negative
12,11,461,Positive,Negative
12,15,395,Positive,Negative
12,19,189,Positive,Negative
12,23,233,Positive,Negative
12,27,378,Positive,Negative
12,31,312,Positive,Negative
12,2,130,Positive,Positive
12,6,313,Positive,Positive
12,10,547,Positive,Positive
12,14,220,Positive,Positive
12,18,215,Positive,Positive
12,22,618,Positive,Positive
12,26,223,Positive,Positive
12,30,163,Positive,Positive
13,4,288,Negative,Negative
13,8,217,Negative,Negative
13,12,264,Negative,Negative
13,16,166,Negative,Negative
13,20,324,Negative,Negative
13,24,303,Negative,Negative
13,28,246,Negative,Negative
13,32,273,Negative,Negative
13,1,605,Negative,Positive
13,5,1193,Negative,Positive
13,9,359,Negative,Positive
13,13,,Negative,Positive
13,17,278,Negative,Positive
13,21,332,Negative,Positive
13,25,245,Negative,Positive
13,29,248,Negative,Positive
13,3,294,Positive,Negative
13,7,417,Positive,Negative
13,11,168,Positive,Negative
13,15,204,Positive,Negative
13,19,517,Positive,Negative
13,23,200,Positive,Negative
13,27,276,Positive,Negative
13,31,164,Positive,Negative
13,2,190,Positive,Positive
13,6,388,Positive,Positive
13,10,954,Positive,Positive
13,14,146,Positive,Positive
13,18,273,Positive,Positive
13,22,,Positive,Positive
13,26,203,Positive,Positive
13,30,237,Positive,Positive
14,4,235,Negative,Negative
14,8,264,Negative,Negative
14,12,228,Negative,Negative
14,16,370,Negative,Negative
14,20,237,Negative,Negative
14,24,229,Negative,Negative
14,28,209,Negative,Negative
14,32,228,Negative,Negative
14,1,974,Negative,Positive
14,5,404,Negative,Positive
14,9,660,Negative,Positive
14,13,221,Negative,Positive
14,17,437,Negative,Positive
14,21,350,Negative,Positive
14,25,247,Negative,Positive
14,29,244,Negative,Positive
14,3,209,Positive,Negative
14,7,272,Positive,Negative
14,11,430,Positive,Negative
14,15,650,Positive,Negative
14,19,220,Positive,Negative
14,23,452,Positive,Negative
14,27,256,Positive,Negative
14,31,301,Positive,Negative
14,2,219,Positive,Positive
14,6,265,Positive,Positive
14,10,333,Positive,Positive
14,14,178,Positive,Positive
14,18,278,Positive,Positive
14,22,565,Positive,Positive
14,26,377,Positive,Positive
14,30,225,Positive,Positive
15,4,310,Negative,Negative
15,8,535,Negative,Negative
15,12,357,Negative,Negative
15,16,258,Negative,Negative
15,20,298,Negative,Negative
15,24,359,Negative,Negative
15,28,326,Negative,Negative
15,32,361,Negative,Negative
15,1,275,Negative,Positive
15,5,696,Negative,Positive
15,9,568,Negative,Positive
15,13,215,Negative,Positive
15,17,956,Negative,Positive
15,21,753,Negative,Positive
15,25,394,Negative,Positive
15,29,421,Negative,Positive
